id,slug,type,is_a_coach,is_coach_of_the_month,is_featured,is_active,focus_tags,style_tags,coach_card_short_description,coach_short_bio,coach_long_bio,forum_thread_id,brand,coach_bands,coach_endorsements,coach_facebook,coach_instagram,coach_twitter,coach_tiktok,coach_youtube
31880,jared-falk,instructor,TRUE,FALSE,FALSE,TRUE,"Hands, Feet, Grooves, Independence",Pop/Rock,Get Started On The Drums,"Jared is a pioneer of online drum instruction, helping prospective drummers around the world learn their first beats and beyond.","Jared Falk has been your trusted source for online drum lessons for decades.<br><br>As the face of Drumeo, Jared is a pioneer of online drum instruction, helping prospective drummers around the world learn their first beats and beyond.<br><br>His passion, grit, and approachable style have helped him become the most watched drum instructor online. And now you’ll have exclusive access to ask him all your biggest questions -- from getting started to finding your unique voice on the drums.",,drumeo,Independent,"Paiste Cymbals, Evans Drumheads, Vater Drumsticks, Snareweight",https://www.facebook.com/jared.falk.drummer,https://www.instagram.com/jaredfalkdrummer/,https://twitter.com/jared_falk,https://www.tiktok.com/@jaredfalkdrummer?,https://www.youtube.com/user/jaredfalk
31978,john-wooton,instructor,TRUE,FALSE,FALSE,TRUE,"Hands, Drumline, Rudiments","Latin, Pop/Rock",Master Your Rudiments,"Holding a doctorate in musical arts from the University of Iowa, John blends theory with the application of drum rudiments.","John Wooten brings an accomplished academic background to your DrumeoCOACHES roster.<br><br>Holding a doctorate in musical arts from the University of Iowa, John blends theory with the application of drum rudiments. And he can do more than teach. John is a decorated drum corps snare drummer who has garnered national recognition for his talents.<br><br>You’ll be spending time with the professor inside DrumeoCOACHES, getting John’s wisdom for buttery smooth chops.",,drumeo,Independent,"Pearl Drums, Zildjian Cymbals, Vic Firth Drumsticks",https://www.facebook.com/johnawooton,https://www.instagram.com/johnawooton/,https://twitter.com/johnwooton,,https://www.youtube.com/user/johnwooton
202289,kaz-rodriguez,instructor,TRUE,FALSE,FALSE,TRUE,"Composition, Creativity",Pop/Rock,Express Your Creative Vision,"Kaz Rodriguez is the touring drummer with Grammy nominee Josh Groban, and he produces some of the most in-demand play-along tracks in the drumming world.","Kaz Rodriguez brings more than an international touring resume with Grammy nominee Josh Groban.<br><br>He produces some of the most in-demand play-along tracks in the drumming world -- with Anika Nilles, Chris Coleman, Aaron Spears and many more relying on his productions to showcase their skills.<br><br>You’ll get to sit in with Kaz while he breaks down play-alongs, discusses his creative process, and even help him write a brand new composition.",,drumeo,Josh Groban,"Tama Drums, Zildjian Cymbals & Sticks, Remo Drumheads, Roland, Earthworks Microphones",https://www.facebook.com/KazRodriguezdrums,https://www.instagram.com/kazdrums/,https://twitter.com/1kaz2,,https://www.youtube.com/user/kazroddrums
31885,kyle-radomsky,instructor,TRUE,FALSE,FALSE,TRUE,Electronic Drums,"Pop/Rock, Jazz",Community Champion,"Musora's Community Manager, Kyle has been making music since the age of 5, and drum noises since the age of 15.","Musora’s Community Manager, Kyle has been making music since the age of 5. Piano was first, though he always wanted to play the drums as he idolized his big brother Kevin (who is also a pro drummer). After switching to drums at the age of 15, there’s been no looking back. Thousands of shows, 15 countries and counting, jazz to country to rock n’ roll. Records, jingles, TV shows - if it needs drums, he can do it!",,drumeo,Independent,"Yamaha Drums, Paiste Cymbals, Remo Drumheads",,,,,
31895,larnell-lewis,instructor,TRUE,FALSE,FALSE,TRUE,"Feet, Electronic Drums, Creativity","Funk, Jazz, Pop/Rock",Improve Your Groove,"Larnell Lewis is a Grammy Award-winning musician, composer, producer, and educator.","Larnell Lewis is a Grammy Award-winning musician, composer, producer, and educator.<br><br>Along with his long-standing position behind the drums in Snarky Puppy, Larnell has led many highly successful groups of his own and toured the globe with some of the most well known names in music, including Etienne Charles, Gregory Porter, Benny Golson, Lalah Hathaway, John Scofield, Pat Metheny, Lisa Fisher, Kurt Elling, Gary Burton, and more. Larnell received the Contemporary Drummer Of The Year award at the 2021 Drumeo Awards.",,drumeo,Snarky Puppy,"Yamaha Drums, Zildjian Cymbals, Promark Drumsticks, Evans Drumheads, Prologix, LP",https://www.facebook.com/LarnellLewisMusic,https://www.instagram.com/larnelllewismusic/,https://twitter.com/Larnell_Lewis,,https://www.youtube.com/user/LarnellLewisMusic
311690,matt-mcguire,instructor,TRUE,FALSE,FALSE,TRUE,Performance,"Electronic, Pop/Rock",Captivate Your Audience,"Matt McGuire rose to fame posting high octane drum covers to the internet. In the process, he grabbed the attention of some of the world’s biggest acts -- including The Chainsmokers.","Matt McGuire rose to fame posting some of the highest caliber drum remixes the internet has ever seen. In the process, he grabbed the attention of some of the world’s biggest acts -- including The Chainsmokers.<br><br>Now Matt tours the world with one of pop’s biggest groups as drummer, musical director, and stage designer.<br><br>Matt’s going to help you push your performances and unlock creativity, excitement, and musicianship in everything you do.",,drumeo,The Chainsmokers,"Pearl Drums, Sabian Cymbals, Evans Drumheads, Vater Drumsticks",https://www.facebook.com/mattmcguiredrums,https://www.instagram.com/mattmcguiredrums/,https://twitter.com/mattmcguiredrum,,https://www.youtube.com/channel/UCLYgzfr61oR0a9yskssoERg
31935,michael-schack,instructor,TRUE,FALSE,FALSE,TRUE,"Electronic Drums, Recording",Electronic,Electric Beats & Performances,"Michael Schack is an electrifying performer, clinician and teacher who knows how to translate his insights into practical results you can use.","Michael Schack does it all: massive festival stages, sweaty European dance clubs, and concert venues around the world.<br><br>More than a performer, he’s a clinician and teacher who knows how to translate his insights into practical results you can use.<br><br>Michael’s going to be showing what he does best: how to energize every performance and translate digital music into compelling acoustic performances.",,drumeo,Netsky,"Tama Drums, Meinl Cymbals, Roland, Vic Firth Drumsticks",https://www.facebook.com/drummermichaelschack,https://www.instagram.com/michaelschack/,https://twitter.com/michaelschack,https://www.tiktok.com/@drummermichaelschack?,https://www.youtube.com/user/michaelschack
253573,steve-smith,instructor,TRUE,FALSE,FALSE,TRUE,"Grooves, Fills","Jazz, Latin, Funk",Effective Jazz Drumming,"Steve Smith is a treasure to drumming culture. Known largely as the drummer for Journey, he was inducted into the Rock and Roll Hall of Fame and voted “Best All-Around Drummer” five years in a row in Modern Drummer's Readers Poll. ","Steve Smith is a treasure to drumming culture. He was inducted into the Rock and Roll Hall of Fame and voted “Best All-Around Drummer” five years in a row in Modern Drummer's Readers Poll. Steve is best known as the drummer for Journey where he recorded six albums, including their most popular album Escape. That being said, Steve is a jazz drummer at heart. He has been the bandleader of his group Vital Information since the early 1970s and has been a sideman for artists such as Jean-Luc Ponty, Steps Ahead, Dweezil Zappa, Bryan Adams, and Savage Garden. Steve performed at the inaugural 2020 Drumeo Festival with his group, Vital Information.",,drumeo,"Journey, Vital Information","Sonor Drums, Zildjian Cymbals, Remo Drumheads, Vic Firth Drumsticks",https://www.facebook.com/vitalinformation,https://www.instagram.com/stevesmithdrums/?hl=en,https://twitter.com/stevesmithdrums,,https://www.youtube.com/user/SteveSmithChannel
31973,todd-sucherman,instructor,TRUE,FALSE,FALSE,TRUE,"Grooves, Hands, Performance","Pop/Rock, Jazz",Your Guide To Rock,"Todd Sucherman has played more than 2000 rock shows, entertaining music fans around the world for 30+ years.","Todd Sucherman has played thousands of rock shows, entertaining music fans around the world for decades.<br><br>He’s a decorated clinician, winning multiple awards for his educational DVDs and enjoying a 20+ year tenure with the legendary rock band Styx.<br><br>Todd’s here to share the wisdom he’s amassed in an impressive career -- both on stage performing to the masses and in the studio dialing in that perfect sound.",,drumeo,Styx,"Pearl Drums, Sabian Cymbals, Remo Drumheads, Audix Microphones, Promark Drumsticks",https://www.facebook.com/toddsuchermanmusic,https://www.instagram.com/toddsucherman/,,,https://www.youtube.com/channel/UCnbQuKWTjiK2HnUk4bKgofQ
236679,aaron-gillespie,instructor,TRUE,FALSE,FALSE,FALSE,Grooves,Pop/Rock,Life On The Road,"The man behind the drums and clean vocals for Underoath, Aaron Gillespie is more than your typical sticksman.","The man behind the drums and clean vocals for Underoath, Aaron Gillespie is more than your typical sticksman. Aaron is a musician at heart, having fronted The Almost for over 10 years and released three solo albums. Over the years, Aaron has worked as a producer alongside Andrew Goldring out of Soundcase Studios and toured the world with Paramore as their live drummer.",,drumeo,,"Gretsch Drums, Meinl Cymbals, Remo Drumheads, Vic Firth Drumsticks",https://www.facebook.com/AaronRGillespie,https://www.instagram.com/aaronrgillespie/?hl=en,https://twitter.com/aaronrgillespie?lang=en,,
31971,adam-marko,instructor,TRUE,FALSE,FALSE,FALSE,"Rudiments, Grooves, Fills","Pop/Rock, Latin, Funk",Power Of The Paradiddle,"Adam Marko is one of Hungary's most in-demand musicians and drummer for the progressive metal quartet, Special Providence.","Nominated as ""Best Prog Drummer"" by Rhythm Magazine and MusicRadar, Adam Marko thrills audiences across the European progressive music scene. He's the drummer for the modern instrumental group, Special Providence, whose release with GEP Records led them to tour alongside Dream Theater, Spock's Beard, and Haken. Beyond performing with his own group, Adam is in demand as a session drummer in Hungary, and easily traverses across all musical styles. An experienced educator, Adam has years of experience teaching privately, as well as major performance credits such as Drumeo, DrumWorld Festival, Meinl Drum Festival, London Drum Show, Glasgow Drum Show, Swiss Drum Festival, Salzgitter Drum Festival, and Drummer's Carnival. ",,drumeo,Special Providence,"Natal Drums, Meinl Cymbals, Vic Firth Drumsticks, Evans DrumHeads",https://www.facebook.com/adammarko1982,https://www.instagram.com/adammarkodrum/,https://twitter.com/adammarko82,,https://www.youtube.com/c/AdamMarko82
31909,adam-tuminaro,instructor,TRUE,FALSE,FALSE,FALSE,"Rudiments, Grooves, Fills","Pop/Rock, Funk,",Creative Fills & Linear Playing,"Known as 'The Orlando Drummer', Adam Tuminaro is an online drum educator whose lessons cover a vast array of topics.","Adam Tuminaro has created a vast library of online educational drum content through his platform, The Orlando Drummer.  He covers everything from fundamentals and rudiments, to advanced fills and linear playing. With his growing library of hundreds of drum lessons, he regularly reaches thousands of online students. Adam is also a Satellite Instructor for Drumeo. ",,drumeo,Independent,"Pearl Drums, Meinl Cymbals, Meinl Drumsticks, Evand Drumheads",https://www.facebook.com/adamtuminaro/,https://www.instagram.com/Insta_Chops/,https://twitter.com/Orlando_Drummer,,https://www.youtube.com/c/AdamTuminaro
198105,alex-acuna,instructor,TRUE,FALSE,FALSE,FALSE,Soloing,Latin,Percussion Solo,"Alex Acuña is one of the most revered percussionists of our time, building his career out of his mastery of different musical styles and percussion instruments.","Alex Acuña is one of the most revered percussionists of our time, building his career out of his mastery of different musical styles and percussion instruments. Having studied at the Puerto Rico Conservatory of Music, Alex ultimately found great success in the United States working with artists like Elvis Presley, Diana Ross, U2, Paul McCartney, Joni Mitchell, Ella Fitzgerald, Chick Corea, Placido Domingo, Tito Puente, Santana, Perez Prado, and Weather Report. His accolades go beyond making music, having received an Emeritus MVP award from NARAS (National Academy of Recording for the Arts and Sciences) and being voted Best Latin/Brazilian Percussionist five years in a row in Modern Drummer’s Readers Poll.",,drumeo,"Paul McCartney, Joni Mitchell, Ella Fitzgerald, Chick Corea, Placido Domingo, Tito Puente, Santana","DW Drums, Zildjian Cymbals, Vic Firth Drumsticks, Gon Bops Percussion",Personal page with low friends ... maybe not good to include? https://www.facebook.com/alex.neciosupacuna.7,,,,
247864,alex-rudinger,instructor,TRUE,FALSE,FALSE,FALSE," Fills, Grooves","Pop/Rock, Metal",Linear Singles,Alex Rudinger has performed with several bands including Whitechapel and Light the Torch. He also runs a popular Youtube channel of drum covers. ,"Alex Rudinger's first big break came at the age of 18 when he was chosen to tour with Canadian heavy metal band, Threat Signal. Since his departure in 2011, he has led a busy musical life both live and in the studio, working with groups such as Good Tiger, The Faceless, The HAARP Machine, Conquering Dystopia, Intronaut, Revocation, and Monuments. He also runs a successful Youtube channel of drum covers which has over 100 thousand subscribers.",,drumeo,"White Chapel, Intronaut, Good Tiger","Tama Drums, Meinl Cymbals, Vic Firth Drumsticks, Evans Drumheads, Trick Pedals",https://www.facebook.com/AlexRudingerOfficial,https://www.instagram.com/alexrudinger/,https://twitter.com/RudyRudinger,,https://www.youtube.com/user/mdterps1042
31920,anika-nilles,instructor,TRUE,FALSE,FALSE,FALSE," Grooves,Fills","Pop/Rock, Funk",Subdivision Studies & Groove,"Hailed as an initiator of the ""modern age"" of today's drumming scene, Anika Nilles is a German musician, composer, educator, and worldwide Youtube sensation. ","Anika Nilles came to drumming fame late, only picking up the sticks professionally at the age of 26. Since then, she has become one of the fastest up and coming drummers with her viral Youtube performances and incredible use of groove and unusual subdivisions. Anika won the Modern Drummer Readers Poll for ""Up And Coming Artist"" and ""#1 Rising Star"" in Drum! magazine. Her debut album, ""Pikalar"" garnered worldwide acclaim and earned spaces on several top music charts. Anika also performed at the 2020 Inaugural Drumeo Festival.",,drumeo,Independent,"Tama Drums, Meinl Cymbals, Promark Drumsticks, Evans Drumheads",https://www.facebook.com/AnikaNilles,https://www.instagram.com/anika.nilles/,https://twitter.com/AnikaNilles,https://www.tiktok.com/@anikanilles,https://www.youtube.com/user/anykmusic
31906,antonio-sanchez,instructor,TRUE,FALSE,FALSE,FALSE,"Independence, Grooves","Latin, Jazz, Funk",Soloing and Stylistic Independence,Antonio Sanchez is one of the most sought-after musicians in the international jazz and contemporary scenes.,"Performing with such legendary collaborators as Pat Metheny, Chick Corea, Gary Burton, and Michael Brecker, Antonio Sanchez is one of the busiest and most in-demand drummers in the world. Already a household name for decades in the drumming community, his popularity exploded with the 2014 release of the film ""Birdman"", which earned four Academy Awards. Sanchez scored and performed the solo drum soundtrack, and earned a Grammy for his work.  Antonio now maintains a full touring schedule with his projects Bad Hombre, Channels of Energy, and Migration. ",,drumeo,"Pat Metheny, Chick Corea","Yamaha Drums, Zildjian Cymbals, Vic Firth Drumsticks, Remo Drumheads, LP Percussion",https://www.facebook.com/antoniodrumsX,https://www.instagram.com/antoniodrums1/,https://twitter.com/AntonioDrumsX,,https://www.youtube.com/c/AntonioSanchezDrums
255287,aquiles-priester,instructor,TRUE,FALSE,FALSE,FALSE,Performance,"Pop/Rock, Metal",Festival Performance,"Aquiles Priester is a national treasure to Brazil. Without question, he is one of the best and most well-known heavy metal drummers alive today.","Aquiles Priester is a national treasure to Brazil. Without question, he is one of the best and most well-known heavy metal drummers alive today. His career spans over thirty years and features credits like drumming with W.A.S.P., Tony MacAlpine, Angra, and Hangar. Aquiles also performed at the 2020 Inaugural Drumeo Festival.",,drumeo,Hangar,"Mapex Drums, Paiste Cymbals, Evans Drumheads, ProMark Drumsticks",https://www.facebook.com/aquilespriester,https://www.instagram.com/aquilespriester/?hl=en,https://twitter.com/aquilespriester?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.tiktok.com/@aquilespriester1?lang=en,https://www.youtube.com/user/Psychoctopuswebsite
31896,ash-pearson,instructor,TRUE,FALSE,FALSE,FALSE,"Grooves, Fills, Feet",Metal,Your Guide To Metal,"Ash Pearson is the drummer for the technical death metal band Revocation, and a lover of metal drumming.","Ash Pearson is the drummer of Boston-based technical death metal band Revocation, and formerly of heavy metal band 3 Inches of Blood. He is also a member of Zimmers Hole and Old Black (featuring Jed Simon) and is affiliated with bands Ultra Earth and Ritual Dictates (featuring Justin Hagberg).",,drumeo,"Revocation, 3 Inches Of Blood","Tama Drums, Sabian Cymbals, Evans Drumheads, Vic Firth Drumsticks",https://www.facebook.com/AshPearsonRevocation,https://www.instagram.com/ash_revocation/,https://twitter.com/AshPearson2,,https://www.youtube.com/user/ashgrinder
190993,austin-burcham,instructor,TRUE,FALSE,FALSE,FALSE,"Performance, Grooves, Hands","Pop/Rock, Metal, Funk",Study The Greats,"Austin Burcham is a drummer, educator and content creator based out of Los Angeles.","Based out of LA, Austin Burcham is a drummer, educator and content creator who provides a holistic approach to online drum education. He runs a successful Youtube channel with a series of lessons called ""Study The Greats"", which are advanced drum lessons based off of performance examples from some of the best drummers of all time. The channel also has a variety of other videos such as drum covers, recording sessions, product reviews, and gear comparisons.",,drumeo,Independent,"Pearl Drums, Meinl Cymbals, Vic Firth Drumsticks, Remo Drumheads",https://www.facebook.com/abbdrums,https://www.instagram.com/abbdrums/?hl=en,,,https://www.youtube.com/c/abbdrums
233797,babyboydrummer,instructor,TRUE,FALSE,FALSE,FALSE,"Grooves, Fills,","Pop/Rock, Funk",A Musical Marvel,"Justin Wilson II, aka Baby Boy Drummer is a child prodigy on the drums.","BabyBoyDrummer lives in California with his parents Shelana and Justin, along with his little sister. While he enjoys music from every genre, jazz, gospel and classical have emerged as favorites. He has dazzled audiences worldwide with his amazing drumming prowess and capabilities well beyond his years. He got his drum set at 18 months and hasn't looked back. His passion for drumming and music is such a joy to experience and watch. ",,drumeo,Independent,"Pearl Drums, Zildjian Cymbals",,https://www.instagram.com/babyboydrummer/,https://twitter.com/babyboydrummer?lang=en,,https://www.youtube.com/channel/UCegpowCPF4TXjlwwwKDY0YA
31945,ben-sesar,instructor,TRUE,FALSE,FALSE,FALSE,"Grooves, Fills, Independence","Country, Pop/Rock",Country Drumming Freedom,"Recognized as one of Nashville’s top drummers, Ben Sesar has spent over 15 years performing on the biggest country music stages with superstar Brad Paisley.","Ben Sesar is a self-taught drummer who tours and records drums for various artists and musicians. When Ben is not on the road drumming for Brad Paisley, he can be found teaching drums online, connecting with friends in Nashville and working on new projects. ",,drumeo,Brad Paisley,"Ludwig Drums, Meinl Cymbals, Vic Firth Drumsticks, Remo Drumheads",https://www.facebook.com/ben.sesar.3/,https://www.instagram.com/bensesar/?hl=en,https://twitter.com/bensesar?lang=en,,https://www.youtube.com/channel/UCEmuM1r4Ej_L0-UrzJVkkHQ
31908,benny-greb,instructor,TRUE,FALSE,FALSE,FALSE,"Creativity, Grooves, Fills","Pop/Rock, Funk",The Art & Science Of Groove,"Benny Greb is a well-respected drummer, composer, educator, and author.","Internationally-acclaimed drummer and educator Benny Greb has taken the art of drumming to an entirely new level with his awe-inspiring creativity, musicality, and technique. He blew down the doors in 2009 with his educational DVD “The Language of Drumming”, and landed on the front cover of Modern Drummer in June 2015 for a feature on “The Art And Science Of Groove”. Benny also writes, records, and releases his own solo records including Grebfruit, Brass Band, and Moving Parts. Benny also performed at the 2020 Inaugural Drumeo Festival.",,drumeo,Moving Parts,"Sonor Drums, Meinl Cymbals, Remo Drumheads, Vic Firth Drumsticks",https://www.facebook.com/Benny.Greb.Official,https://www.instagram.com/bennygreb/,https://twitter.com/bennygreb,https://www.tiktok.com/@bennygreb?,https://www.youtube.com/c/bennygrebofficial
31949,bernard-purdie,instructor,TRUE,FALSE,FALSE,FALSE,"Grooves, Fills","Funk, Jazz, Pop/Rock",The Purdie Shuffle,Bernard “Pretty” Purdie is an American drummer and an influential and legendary funk musician.,"Bernard Purdie hit the New York music scene in the early 1960s, and landed his first hit with Mickey and Sylvia. This led to his 25-year association with Aretha Franklin. His grooves have been sampled, cut and pasted on dance tracks and his groove is sought after in all genres of jazz, soul and funk. The Purdie Shuffle is now a reference point in the basics of modern drumming, and it was the inspiration behind Jeff Porcaro’s ""Rosanna"" (a fusion of Purdie’s Shuffle and John Bonham’s ""Fool In The Rain""). His definitive style has anchored sessions on some of the greatest songs of the modern era. Drummer, musician, producer, arranger and musical director, Bernard Purdie can be proud of a discography of over 3,000 recordings.",,drumeo,"Aretha Franklin, Steely Dan","Sabian Cymbals, Rich Drumsticks",https://www.facebook.com/bernardprettypurdie/,https://www.instagram.com/bernardprettypurdie/,https://twitter.com/bernardpurdie1,,
