id,type,title,Genre,Essentials-1,Essentials-2,Theory-1,Theory-2,Creativity-1,Creativity-2,Lifestyle-1,Lifestyle-2
371552,student-review,Efficient Use Of Breath - Shyan.Rae,,Breath Support,,,,,,,
371555,student-review,Selecting The Best Key For Your Voice - Gil Hereny,,Vocal Range,,,,,,Performance,
371556,student-review,Selecting Vocal Placement For Style - Paul G,,Vowel Shapes,Style,,,,,Performance,
371557,student-review,Singing With Style - Marwan Al-Mesbahi(MWN),,Pitch,Style,,,,,,
371562,student-review,Applying Vibrato To Sound Development - Mitch M,,,,,,,,Performance,
371563,student-review,Becoming A Dynamic Performer - Adammichadrums,,Chest Puller,Vowel Shapes,,,,,Performance,
371569,student-review,Good Breathing To Avoid Strain - Tim Bondyra,,Chest Puller,,,,,,,
372427,student-review,Working On The High Notes - Sammy Mack,,Chest Puller,Flipper,,,,,,
372428,student-review,Prepare To Be Prepared - K. Fox (Kelly),,Breath Support,,,,,,Performance,
372429,student-review,Am I Exercising Correctly? - Dino Giacobbe,,Tension,,,,,,Performance,
372430,student-review,Gaining Vocal Strength - Tony111,,Pitch,,,,,,,
372431,student-review,Avoiding Vocal Tension - Jacintalerwill,,Tension,,,,,,,
372432,student-review,Gaining Courage To Make Noise - EnyaW,,,,,,,,Performance,
372433,student-review,Adding Chest To The Mix - Dagmar B,,No Chest Voice,,,,,,,
373040,student-review,Polishing Riffs & Runs - Marwan Al-Mesbahi(MWN),,Pitch,,,,Riffs & Runs,,,
373042,student-review,Balancing Breath & Vocal Cord Closure - Lee From London,,Breath Support,Tension,,,,,,
373043,student-review,Applying Movement To Exercises - Ogma,,Pitch,Vocal Range,,,,,,
373044,student-review,Feeling A 6/8 Time Signature - K. Fox (Kelly),,Chest Puller,,Rhythm,,,,,
373045,student-review,Building Breath Support - Isaac Bonful,,Breath Support,,,,,,,
373048,student-review,Supporting With Breath - Ingrid Poulsen,,Breath Support,No Chest Voice,,,,,,
373055,student-review,Balancing Your Voice - Ray,,Breath Support,Chest Puller,,,,,,
373058,student-review,Practicing Harmonies - Bravebuskers,,,,,,,,Performance,
373059,student-review,Working Out The Details - Liz H,,,,,,,,Performance,
373060,student-review,Following Up On Vibrato - MeganW,,,,,,,,Performance,
373062,student-review,Re-Shaping Vowels: Path of Least Resistance - Nigel P,,Vowel Shapes,,,,,,Performance,
373081,student-review,Creating The Path Of Least Resistance For Your Vowels - Nancy V,,Vowel Shapes,,,,,,,
373416,student-review,Balancing Vowels And Consonants - Marwan Al-Mesbahi(MWN),,,,,,,,Performance,
373417,student-review,Relieve Tension To Find Pitch - Brysonsethyoung,,Pitch,Tension,,,,,,
373418,student-review,Negotiating Fast-Paced Songs - Iris E,,,,,,,,Performance,
373419,student-review,Exploring Lower Notes - Derek Brown,,Vocal Range,,,,,,,
373420,student-review,Reshaping For Style - P.Damien,,Vowel Shapes,,,,,,Performance,
373421,student-review,Honing In On Harmonies - Bravebuskers,,Chest Puller,,,,,,,
373422,student-review,Getting Outside Your Comfort Zone - Shyan Rae,,No Chest Voice,Vowel Shapes,,,,,,
373425,student-review,Steady Breath - Dagmar B,,Breath Support,,,,,,Performance,
373723,student-review,Following Up On Cord Closure - Sam Hb,,Breath Support,Vowel Shapes,,,,,,
373724,student-review,Practicing Original Song With Movement - Author589goonit,,Pitch,,,,,,,
373725,student-review,Refining Shapes - Nancy V,,Vowel Shapes,,Rhythm,,,,,
373727,student-review,Making A Song Come Alive With Style  - TeriP From TN,,Style,,,,,,Performance,
373728,student-review,Which Octave Sounds Best? - Sandi D,,Vocal Range,,,,,,,
373865,student-review,Checking On Vowel Shapes - Lee From London,,Vowel Shapes,,,,,,,
373866,student-review,Releasing Into High Notes - K. Fox (Kelly),,Chest Puller,,,,,,,
373867,student-review,Avoiding Nasal Resonance - Simon.Spider,,Vocal Range,,,,,,,
374335,student-review,Building A Strong Voice - Shakti Tracy,,Blender,,,,,,,
374337,student-review,Adding Grit Stylistically - P.Damien,,,,,,,,Performance,
374339,student-review,Reshaping Vowels for Ease & Presence - Simon.Spider,,Tension,,,,,,,
374340,student-review,Singing Into The Vowels - Allen Doggy Daddy,,Chest Puller,Vowel Shapes,,,,,,
374396,student-review,Making High Notes Sound Good - Sandi D,,Vocal Range,Vowel Shapes,,,,,,
374397,student-review,Narrowing In On Pitch - Saronravuth,,Chest Puller,Pitch,,,,,,
374398,student-review,Using Breath And Shapes For Smooth Results - Roxy,,Breath Support,Chest Puller,,,,,,
374399,student-review,Refining Melody - Author589goonit,,Pitch,,,,,,,
374646,student-review,Add Emotion To Find Connection - Moepower,,Breath Support,Pitch,,,,,,
374647,student-review,Find & Keep The Pitch - Shyan Rae,,Pitch,,,,,,,
374648,student-review,Release The Grip - Find The Pitch - Bryson Seth Young,,Chest Puller,Pitch,,,,,,
374649,student-review,Adding Dynamics - Claire Blythe,,Breath Support,Vowel Shapes,,,,,,
374650,student-review,Open Up & Let It Out - Ray,,Breath Support,Vowel Shapes,,,,,,
374651,student-review,Controlling Volume From Low To High - Terri Purich,,Flipper,,,,,,,
374652,student-review,Refining Pitch On Higher Notes - Simon L,,Flipper,Tension,,,,,,
374654,student-review,Getting Out Of The Nose - Kevin Teyor,,Vowel Shapes,,,,,,,
374655,student-review,Implementing Movement - Roxy,,Vowel Shapes,,,,,,,
374656,student-review,Finding Your Power - Bhaede,,Vowel Shapes,,,,,,Performance,
374658,student-review,Focusing On Vowels - Ray,,Breath Support,Vowel Shapes,,,,,,
374815,student-review,Adding Strength In Higher Range - Sandi D,,Vocal Range,,,,,,,
374816,student-review,Focusing On Pitch - Shyan Rae,,Pitch,,,,,,,
374818,student-review,Preparing Your Song For Performance - Ray,,,,,,,,Performance,
374819,student-review,Creating A Smooth Flow - Nancy V,,Breath Support,,Rhythm,,,,,
374821,student-review,Refining Pitch  - Tim Bondyra,,Pitch,Tension,,,,,,
374822,student-review,Shaping The Sound - Damien,,Vowel Shapes,,Rhythm,,,,,
374823,student-review,Narrowing In On Vowel Shapes - Nigel P,,Vowel Shapes,,,,,,,
374824,student-review,Perfecting The Song - Roxy,,Breath Support,,,,,,,
374825,student-review,Strengthen The High Notes - Gonzalo Ares,,Vocal Range,,,,,,,
374830,student-review,Building Style That Suits Your Voice - Sasimons,,No Chest Voice,Style,,,,,,
374832,student-review,Checking In On Style Exercises - Ingrid Poulsen,,No Chest Voice,Style,,,,,,
375007,student-review,30 Day Challenge Check-In - Tolo,,Pitch,,Rhythm,,,,,
375008,student-review,Perfecting Your Pitch - Ourmaninboston,,Pitch,Vocal Range,,,,,,
375010,student-review,Experimenting With Harmonies - Kellie & Kai,,,,,,,,Performance,
375014,student-review,Enhancing Your Performance - Damien,,,,,,,,Performance,
375015,student-review,Building Dynamics In Song - Simon L,,Chest Puller,Tension,,,,,,
375016,student-review,Regulating Vibrato - Dawn.Strzalka,,No Chest Voice,,,,,,Performance,
375017,student-review,Making Space For Breath Flow - LauraVC,,Breath Support,Vowel Shapes,,,,,,
375018,student-review,Using Breath To Feed The Vowels - Ray,,Breath Support,Vowel Shapes,,,,,,
375019,student-review,Adding Energy To Your Performance - Brenda Holloway,,No Chest Voice,,,,,,Performance,
375244,student-review,The Right Key For A Perfect Performance - Roxy,,Breath Support,Tension,,,,,Performance,
375245,student-review,Blending Connected & Released Tones Throughout the Register - Paulwithglasses,,Vocal Range,,,,,,Performance,
375329,student-review,Refining Your Performance - Ray,,,,,,,,Performance,
375330,student-review,Getting Karaoke Ready - Ogma,,Breath Support,Pitch,,,,,Performance,
375331,student-review,Singing While Playing Piano - Author589goonit,,,,,,,,,
375332,student-review,Determining Your Type - Navioh,,Flipper,,,,,,,
375333,student-review,Following Up - Ray,,,,,,,,Performance,
375334,student-review,Getting Ready For The Stage - Ray,,,,,,,,Performance,Gigging Tips & Gear
375335,student-review,Fixing The Trouble Spots - Nigel P,,Vowel Shapes,,,,,,,
375336,student-review,Moving The Resonance Out Of Your Nose - Jackh,,Breath Support,Tension,,,,,,
375337,student-review,Checking In On A Live Performance - Pete Guitar,,,,,,,,Performance,
375350,student-review,Using Vowels To Create Path Of Least Resistance - Ourmaninboston,,Breath Support,,Rhythm,,,,,
375487,student-review,Release And Re-Balance - Shruti Tiwari,,Chest Puller,Vowel Shapes,,,,,,
375488,student-review,Shaping Vowels To Release Grip - Ed Koop,,Tension,Vowel Shapes,,,,,,
375533,student-review,Determining Your Vocal Tendencies - Tolo,,Flipper,Vowel Shapes,,,,,,
375534,student-review,Engaging Chest Voice To Support Pitch - Sissie,,No Chest Voice,Pitch,,,,,,
375535,student-review,Connected Release: Balancing The Tension  - Simon L,,Breath Support,Tension,,,,,,
375536,student-review,Developing Power Supported By Breath - James Suntres,,Breath Support,,,,,,,
375538,student-review,Open Up The Vowels - Brysonsethyoung,,Breath Support,Vowel Shapes,,,,,,
375539,student-review,Fine Tuning Your Vowel Shapes - Carlz,,Pitch,Vowel Shapes,,,,,,
375540,student-review,Relaxing The Jaw - Lauren - Music For The Soul,,Tension,Vowel Shapes,,,,,,
375541,student-review,Focus On Vowels - Thisoares,,Pitch,,Rhythm,,,,,
375542,student-review,Experimenting With Different Types Of Harmonies - Ogma,,Pitch,,,,,,,
375543,student-review,Conveying Emotion In Song - MonaLisa,,Vowel Shapes,,,,,,,
375544,student-review,Following Up On Breath - Roxy,,Breath Support,,,,,,,
375545,student-review,Sing the Vowels - John Frost Olympia,,Breath Support,Vowel Shapes,,,,,,
375546,student-review,Creating A Path Of Least Resistance - LuckyDawg,,,,,,,,,
375929,student-review,Using Fry To Find Grit - Roxy,,Vowel Shapes,,Rhythm,,,,,
375930,student-review,Find The Connection - W1ll1am,,No Chest Voice,Pitch,,,,,,
375931,student-review,Adding Strength To Your Voice - KristinN,,No Chest Voice,,,,,,,
375933,student-review,Walk Through The Pitch - Ogma,,Pitch,,Rhythm,,,,,
375934,student-review,Doing Exercises Correctly - Tolo,,Vowel Shapes,,,,,,Practice Tips,
375935,student-review,Making The Song Your Own - Damien,,,Style,,,,,Performance,
375936,student-review,Keeping Your Diphthongs Open  - Ray,,Vowel Shapes,,,,,,,
375937,student-review,Breath Support For A Long Phrase - Nancy V,,Breath Support,,,,,,,
375938,student-review,Adding Energy To Assist Pitch - Mike T-rocksky,,Pitch,,,,,,,
375939,student-review,Finding A Forward Placement - Meganw,,Vowel Shapes,,,,,,,
376316,student-review,Connection In The Transition - Gil Hereny,,No Chest Voice,Vowel Shapes,,,,,,
376318,student-review,Finding Strength And Connection - EmmaSB,,No Chest Voice,,,,,,,
376321,student-review,Removing Tension While Exercising - FernandoSamo,,Tension,,,,,,,
376323,student-review,Using Vocal Fry To Connect - Ilva,,No Chest Voice,,,,,,,
376326,student-review,Shaping Vowels To Personalize Songs - Paulwithglasses,,Vowel Shapes,Style,,,,,,
376328,student-review,Singing While Playing Piano - Author589goonit,,Pitch,Vowel Shapes,,,,,,
376329,student-review,Adding Strength From Chest Voice - KristinN,,No Chest Voice,,,,,,,
376331,student-review,The Importance Of Your First Note - Joseph Davissen,,Pitch,,,,,,,
376517,student-review,Opening Up Your Vowel Shapes - Bill S,,Vowel Shapes,,,,,,,
376519,student-review,Developing Strength In Your Voice - Roxy,,Breath Support,Vocal Range,,,,,,
376521,student-review,Breath Support For A Stronger Sound - Doug A,,Breath Support,Pitch,,,,,,
376523,student-review,Balancing Style And Technique - Teri P From TN,,,Style,,,,,Performance,
376632,student-review,Shaping Vowels Continued... - Lee From London,,Vowel Shapes,,,,,,,
376634,student-review,The Correct Approach To Exercise - Felipekamakura,,Chest Puller,Tension,,,,,,
376636,student-review,Phrasing For Ease & Presence - Simon L,,Tension,,Rhythm,,,,,
376638,student-review,Consider The Vowels - Brysonsethyoung,,Vowel Shapes,,Rhythm,,,,,
376853,student-review,Connecting The Tone - Debbie Hoodiman,,,Blender,,,,,,
376855,student-review,Finding The Sweet Spot In Song - Dvs,,,Blender,,,,,Performance,
376857,student-review,Choosing Style: Falsetto Or Edgy? - Megan W,,,Style,,,,,Performance,
376859,student-review,Connected Release: Falsetto Or Edgy? - Mitch,,,Style,,,,,Performance,
376861,student-review,Cord Closure To Gain Breath Flow - Ingrid Poulsen,,No Chest Voice,Breath Support,,,,,,
377014,student-review,The Best Key For Your Voice - Roxy,,Pitch,,,,,,,
377016,student-review,Balancing The Vocal Cord Connection - Shruti,,Tension,,,,,,,
377018,student-review,Find The Path Of Least Resistance - Tim Bondyra,,Tension,Chest Puller,,,,,,
377061,student-review,Singing With A Recording Mic - Sam Hb,,No Chest Voice,Breath Support,,,,,,
377063,student-review,Setting Yourself Up For Success -  Tesh,,Pitch,,,,,,,
377068,student-review,Shaping Your Vowels - Bill S,,Flipper,Vowel Shapes,,,,,,
377070,student-review,Am I On Pitch? - Playing4Jesus (Meagan),,Pitch,,,,,,,
377073,student-review,Bringing Your Tone Forward - SueH,,No Chest Voice,Vowel Shapes,,,,,,
377075,student-review,Refining Pitch And Rhythm - Brenda Holloway,,Breath Support,,Rhythm,,,,,
377373,student-review,Releasing The Tension - Simon L,,Tension,,,,,,,
377376,student-review,Exploring Your Head Voice - Radertonya,,Chest Puller,Vocal Range,,,,,,
377379,student-review,Getting into Song - Felipekamakura,,Tension,Breath Support,,,,,,
377382,student-review,Select The Right Key To Relieve Tension - James Suntres,,Tension,Chest Puller,,,,,,
377384,student-review,Select The Best Key For Your Song - Kedomat,,Vocal Range,Breath Support,,,,,,
377386,student-review,Shaping The Transition - Lee From London,,Tension,Vowel Shapes,,,,,,
377388,student-review,Refining Vowel Shapes - Megan W,,Vowel Shapes,,,,,,,
377390,student-review,Adding Strength To A Soft Voice - EnyaW,,,,,,,,Performance,
377392,student-review,Practicing Your Song - Melissa.Z,,Vowel Shapes,Breath Support,,,,,Practice Tips,
381407,student-review,Releasing Tension In The Transition - Preston Blarek,,Chest Puller,Tension,,,,,,
381409,student-review,Open The Vowels - Andreas G,,Tension,Vowel Shapes,,,,,,
381412,student-review,Balancing The Transition In Song - Joseph Davissen,,Chest Puller,Breath Support,,,,,,
381414,student-review,The Path Of Least Resistance - Kevin C,,Vowel Shapes,,,,,,,
381416,student-review,Changing Vocal Approach For Style - Sspeir,,No Chest Voice,,,,,,,
381418,student-review,Balance Tension To Suit The Style - PaulWithGlasses,,Tension,,,,,,Performance,
381479,student-review,Fine-Tuning Your Vowels - Dpatterson,,Tension,Vowel Shapes,,,,,,
381482,student-review,Setting Vocal Goals - Caboy,,Vowel Shapes,,,,,,,
381484,student-review,Strength On High Notes - DebbieO,,Vocal Range,,,,,,,
381487,student-review,Releasing Tension Through Movement - Simon L,,Tension,,,,,,,
381717,student-review,Exploring Your Head Voice - Hazel Rosario,,Chest Puller,,,,,,,
381719,student-review,Developing Power In Your Voice - Tracey_Byrnes,,Vowel Shapes,No Chest Voice,,,,,,
381755,student-review,Open Up Your Vowels - Anna O,,Vowel Shapes,,,,,,,
381757,student-review,Open Up To Reach The Note - Brysonsethyoung,,Pitch,Vowel Shapes,,,,,,
381759,student-review,Give Your Voice Some Edge - Megan W,,Vowel Shapes,Style,,,,,Performance,
381761,student-review,How To Knock It Out Of The Park - PaulWithGlasses,,,,,,,,Performance,
381763,student-review,Fine Tuning Your Pitch - Ogma,,Pitch,Tension,,,,,,
381765,student-review,What Song is Best For My Voice? - Joseph Davissen,,Pitch,,,,,,,
381767,student-review,Watch Out For Vowel Shapes - Alison Luterman,,Vowel Shapes,,,,,,,
381769,student-review,Challenge Yourself - Donar Wing,,,,,,,,Performance,
381818,student-review,Tends Tos Can Change - Becky A,,Chest Puller,Flipper,,,,,,
381822,student-review,Connecting Chest To Head Voice - Iv,,Flipper,,,,,,,
381825,student-review,Where Should You Begin The Exercise - Playing-4-Jesus (Meagan),,Flipper,,,,,,,
381827,student-review,Vowels & Path of Least Resistance - Sam Hayes,,Vowel Shapes,,,,,,Performance,
381830,student-review,Juggling The Approach For Big Songs - Sam Hb,,Flipper,Vowel Shapes,,,,,,
382261,student-review,Adding Strength To Your Voice - ShowerHowler,,No Chest Voice,,,,,,Performance,
382263,student-review,Ease Up On The Tension - Kate On The Keys,,Flipper,Tension,,,,,,
382265,student-review,Singing Smooth And Relaxed - Nancy V,,Vocal Range,,,,,,,
382267,student-review,How To Clean Up Your Riffs & Runs - Moredebbs,,Chest Puller,Vocal Range,,,,,,
382270,student-review,Breaking Out Of Nasal Resonance - Invinciblefeelings,,No Chest Voice,,,,,,,
382273,student-review,Making Space - DeanM,,Vowel Shapes,Breath Support,,,,,,
382298,student-review,"Know Your ""Tends To"" - Becky A",,Flipper,Vowel Shapes,,,,,,
382300,student-review,Keep The Connection - Felipekamakura,,Flipper,,,,,,,
382302,student-review,Adding Weight To Your Voice - Dunni,,No Chest Voice,,,,,,,
383553,student-review,Using Breath More Efficiently - Sharbrownell,,Breath Support,,,,,,,
383555,student-review,Determining Your Voice Type - Little Voice,,Flipper,,,,,,,
383557,student-review,Avoiding Strain On High Notes - Bill S,,Tension,,Rhythm,,,,,
383559,student-review,Finding Your Tends-To - Anjali Sachaniya,,Blender,,,,,,,
383561,student-review,Following Up On Vowel Shapes - Brysonsethyoung,,Vowel Shapes,Chest Puller,,,,,,
383563,student-review,Where To Start Your Journey - Ou Tee,,Flipper,Blender,,,,,,
383565,student-review,Finding Connected Release For Whistle Tone - Derek Brown,,Vocal Range,,,,,,,
383567,student-review,Doing Exercises Correctly - Jackh,,Flipper,,,,,,,
383569,student-review,Muscle Memory - Self Accompaniment - James Suntres,,Vocal Range,,Rhythm,,,,,
383571,student-review,Bring Your Song To A Pro-Level - Mitch,,,,,,,,Performance,
383573,student-review,Finding Correct Larynx Placement - Ogma,,Pitch,Chest Puller,,,,,,
383578,student-review,Build Resistance For Range & Power - Peter Crowe,,Blender,Breath Support,,,,,,
383580,student-review,Riffing On Low Notes - Shruti,,,,Rhythm,,Riffs & Runs,,,
386225,student-review,Balance The Approach - Peter Crowe,,Blender,,,,,,Performance,
386227,student-review,Feeding The Sound With Breath - Lelan Gimnick,,Breath Support,Vowel Shapes,,,,,,
386229,student-review,Using The Correct Key - Peter Crowe,,Blender,,,,,,Performance,
386231,student-review,Finding Connection In Lower Register - Paige Clemons,,No Chest Voice,,,,,,,
386232,student-review,Shape The Vowels - Ogma,,Vowel Shapes,,,,,,,
386235,student-review,Finding the Connection - lou,,No Chest Voice,,,,,,,
386237,student-review,What To Work On First - Narmada,,Vocal Range,,,,,,Performance,
386241,student-review,Lighten Up On The High Notes - OuTee,,Flipper,Vowel Shapes,,,,,,
386243,student-review,Start To Build Vocal Strength - Joke.Marcoen,,No Chest Voice,,,,,,,
386245,student-review,Breaking Out Of Mixed Voice - Ben85,,No Chest Voice,Vocal Range,,,,,,
386247,student-review,Building Good Breath Support - Tolu,,Breath Support,,,,,,,
386251,student-review,Identifying Your Vocal Tendency - Julius K,,Vocal Range,Chest Puller,,,,,,
386517,student-review,Ease & Presence - Nigel P,,Tension,Chest Puller,,,,,,
386519,student-review,Feed the Phrase On One Breath - Natemillervt,,Breath Support,,,,,,,
386521,student-review,Find & Secure the Notes: Riffs & Runs - Kevin.Royet.Kr,,Tension,,Rhythm,,Riffs & Runs,,,
386523,student-review,Make the Vowels Work For You - Jeffschmitz,,Vowel Shapes,Breath Support,,,,,,
386525,student-review,Using Breath Consistently - Divye,,Vowel Shapes,Breath Support,,,,,,
386527,student-review,How To Manage A Wordy Song - Iris E,,Vocal Range,No Chest Voice,,,,,,
386529,student-review,Open Up Your Diphthongs - Oliverincavtat,,Vowel Shapes,,,,,,,
386531,student-review,How To Practice Vowels - LauraVC,,Tension,,,,,,,
386533,student-review,Appropriate Level Of Vocal Weight - Lee From London,,Tension,,,,,,,
386535,student-review,Singing While Playing Drums - EmmaSB,,,,,,,,Performance,
386537,student-review,Find Strength In Your Lower Range - Tree Marie,,No Chest Voice,,,,,,,
386539,student-review,Add Some Chest Voice Resonance - Patricia Ireland,,,,,,,,,
386541,student-review,Get Out Of Your Comfort Zone - Copelyn Jane,,No Chest Voice,,,,,,,
386544,student-review,Loosen Up To Open Up - Lauren - Music For The Soul,,Vowel Shapes,,,,,,,
386547,student-review,Identify Your Unique Vocal Type - Mobrien,,Blender,Flipper,,,,,,
386549,student-review,Practice Belting Safely - Bestuboy,,Tension,,,,,,Performance,
386552,student-review,How Low Is Too Low? - Lelan Gimnick,,Vocal Range,Pitch,,,,,,
386556,student-review,Identifying Your Vocal Tendency - Narmada,,Blender,,,,,,,
386559,student-review,How To Improve Your Pitch - Milacvorovic,,Pitch,,,,,,,
386863,student-review,Finding Head Voice Connected - Nancy V,,Flipper,Breath Support,,,,,,
386865,student-review,Tongue Tension - Brysonsethyoung,,Tension,,,,,,,
386867,student-review,Connected Tone Head Voice - Natemillervt,,Flipper,Tension,,,,,,
386869,student-review,Balance the Transition - Ourmaninboston,,Tension,Chest Puller,,,,,,
386871,student-review,Finding The Balance - Jonny Lawrence,,Breath Support,,,,,,,
386873,student-review,Practicing The High Notes - Takoyaki,,Vocal Range,,,,,,,
386875,student-review,Find Your Starting Note - Joseph Davissen,,Pitch,,,,,,,
386877,student-review,Working Out The Phrasing - Tonitoagu,,Tension,,Rhythm,,,,,
386879,student-review,Keep Building Cord Closure - Iv,,Flipper,No Chest Voice,,,,,,
386881,student-review,Practice Patience When Learning Scales - Jackh,,Pitch,,,,,,,
386883,student-review,Strengthening The Voice - FernandoSamo,,Blender,,,,,,,
386885,student-review,Freedom On The High Notes - OuTee,,Vocal Range,,,,,,,
386887,student-review,Make It Sound Effortless - KristinN,,No Chest Voice,,,,,,,
